name,latitude,longitude,type,tel,cel,email,address
Aberdeen Hospital,-32.473958,24.054372,District Hospital,049 8460 497/630,083 9830 876,mxolisi.vanqa@impilo.ecprov.gov.za,35 Hope Street
Addo Clinic,-33.546594,25.68993,Satellite Clinic,042 233 0358,082 519 7111,,Main Rd. Addo
Adelaide Gateway Clinic,-32.69994,26.29404,Clinic,466840066,789950107,,"Pos Retief Drive,"
Adelaide Hospital,-32.70092,26.29427,District Hospital,466840066,826377326,adelhospmmn@bosberg.co.za,"Piet Retief Drive,"
Aeroville Clinic,-32.750808,25.601076,Clinic,042 243 3446,,,15 Birdanire
Afsondering Clinic,-30.179141,28.948674,Clinic,,,,Afsondering Location
Agnes Rest Clinic,-31.697272,27.031056,Clinic,718543796,,,Mnggukhwebe
Alexandria Clinic,-33.651166,26.413786,Clinic,046 653 0333,,,1 Sending Street
Algoa Frail Care Centre,-33.87848,25.48888,Clinic,,,,
Algoa Park Clinic,-33.900956,25.56466,Clinic,041 452 2058,073 808 8415,lerina.magutywa@impilo.ecprov.gov.za,Cnr Chudleigh An St. Leornards Street
Aliwal North Block H Clinic,-30.691622,26.680411,Clinic,516341074,721452725,,Ntsuenjana Street
Aliwal North Hospital,-30.697167,26.70719,District Hospital,0516342381/2/3,833782414,marietjie.fourie@impilo.ecprov.gov.za,Park Avenue
All Saints Gateway Clinic,-28.04807,28.046663,Clinic,833780595,833780595,,
All Saints Hospital,-31.66098,28.046663,District Hospital,475481115,839944167,tembile.gedu@impilo.ecprov.gov.za,All Saints A/A
Alphendale Clinic,-33.013279,27.841346,Clinic,437334496,836502998,,Alphen Road
Amabele Clinic,-32.66337,27.52389,Clinic,437829022,735369817,,"Amabele Station Road,"
Amadiba Clinic,-31.073091,30.179014,Clinic,833780667,737037575,,Umgungundlovu A/A
Amahleke Clinic,-32.834766,27.230218,Clinic,406562481,729171095,,Thembisa Township
Amandengane Clinic,-31.099178,29.750606,Clinic,718543793,767985353,,Chithwayo Location
Amantshangase Clinic,-30.839589,29.587928,Clinic,833780694,0825979814 / 0718595895,,Amantshangase A/A
Amathole Basin Clinic,-32.69596,26.99311,Clinic,833781193,732367650,,
Andries Vosloo Hospital,-32.731182,25.591224,District Hospital,042 243 1311,083 378 0891,hestelle.smith@impilo.ecprov.gov.za,Charles Street Somerset East
Andrieskraal Satellite Clinic,-33.746529,24.640381,Satellite Clinic,,082 829 5348,,R 331 Patensie
Anglo African Street Clinic,-33.311444,26.525867,Clinic,046 622 3430,078 241 3658,,No. 3 Huntley Street
Askeaton Clinic,-31.625093,27.460434,Clinic,,833031668,,Askeaton Location
Aspiranza Clinic,-33.019228,27.849545,Clinic,437332191,799681237,,Robert King Crescent
Assina Mandla Clinic,-32.75045,26.7941,Clinic,040 653 6855,071 549 1958,,Nuwabeni Location
Bacclesfarm Clinic,-32.040569,26.461371,Clinic,408451232,739410112,,
Badi Clinic,-32.287058,28.662158,Clinic,083 3780 548,082 478 5876,,Lowwer Gwadu Location
Bala Clinic,-30.99031,29.53658,Clinic,,718595987,,Bala A/A
Baleni Clinic,-31.159225,29.971658,Clinic,833781136,833781136,,Baleni A/A
Balfour Clinic,-32.54578,26.68213,Clinic,,734131543,,
Bambisana Hospital,-31.451172,29.454045,District Hospital,392537923,833782100,thembinkosi.siyamgaphi@impilo.ecprov.gov.za,
Bambisana PHC Clinic,-31.45022,29.45341,Clinic,39257923,735348863,,
Banzi Clinic,-32.126371,27.520087,Clinic,833781171,833781171,,Banzi Village
Baroda Clinic,-32.00237,25.51043,Clinic,488813419,,,Baroda Clinic
Baviaans Clinic,-33.33402,24.343214,Clinic,049 835 0047,083 602 4984,,Corner Phillpott And Sarel Cilliers Street
Baziya CHC,-31.614431,28.385099,Community Health Clinic,475486087,760653086,,Baziya Mission
Beacon Bay Clinic,-32.968498,27.938766,Clinic,0437059636 / 9637,823328207,,"Major Square Road, Beacon Bay"
Beatrice Ngwentle Clinic,-32.726067,25.596479,Clinic,042 243 3447,,,Mayila Street
